time,user,src_user,src_computer,dst_computer,auth_type,logon_type,auth_orient,success
4080,U21@DOM,U21@DOM,PC15,SRV9,NTLM,Network,LogOn,Success
4140,U22@DOM,U22@DOM,PC16,SRV10,Kerberos,Network,LogOn,Success
4200,U23@DOM,U23@DOM,PC17,SRV11,Kerberos,Network,LogOn,Success
4260,U24@DOM,U24@DOM,PC18,SRV12,Kerberos,Network,LogOn,Success
4320,U1@DOM,U1@DOM,PC1,SRV1,NTLM,Network,LogOn,Success
4380,U2@DOM,U2@DOM,PC2,SRV2,Kerberos,Network,LogOn,Success
4440,U3@DOM,U3@DOM,PC3,SRV3,Kerberos,Network,LogOn,Success
4500,U4@DOM,U4@DOM,PC4,SRV4,Kerberos,Network,LogOn,Success
4560,U5@DOM,U5@DOM,PC5,SRV5,NTLM,Network,LogOn,Success
4620,U6@DOM,U6@DOM,PC6,SRV6,Kerberos,Network,LogOn,Fail
4680,U7@DOM,U7@DOM,PC7,SRV7,Kerberos,Network,LogOn,Success
4740,U8@DOM,U8@DOM,PC8,SRV8,Kerberos,Network,LogOn,Success
4800,U9@DOM,U9@DOM,PC9,SRV9,NTLM,Network,LogOn,Success
4860,U10@DOM,U10@DOM,PC10,SRV10,Kerberos,Network,LogOn,Success
4920,U11@DOM,U11@DOM,PC11,SRV11,Kerberos,Network,LogOn,Success
4980,U12@DOM,U12@DOM,PC12,SRV12,Kerberos,Network,LogOn,Success
5040,U13@DOM,U13@DOM,PC13,SRV1,NTLM,Network,LogOn,Success
5100,U14@DOM,U14@DOM,PC14,SRV2,Kerberos,Network,LogOn,Success
5160,U15@DOM,U15@DOM,PC15,SRV3,Kerberos,Network,LogOn,Success
5220,U16@DOM,U16@DOM,PC16,SRV4,Kerberos,Network,LogOn,Success
5280,U17@DOM,U17@DOM,PC17,SRV5,NTLM,Network,LogOn,Fail
5340,U18@DOM,U18@DOM,PC18,SRV6,Kerberos,Network,LogOn,Success
5400,U19@DOM,U19@DOM,PC1,SRV7,Kerberos,Network,LogOn,Success
5460,U20@DOM,U20@DOM,PC2,SRV8,Kerberos,Network,LogOn,Success
5520,U21@DOM,U21@DOM,PC3,SRV9,NTLM,Network,LogOn,Success
5580,U22@DOM,U22@DOM,PC4,SRV10,Kerberos,Network,LogOn,Success
5640,U23@DOM,U23@DOM,PC5,SRV11,Kerberos,Network,LogOn,Success
5700,U24@DOM,U24@DOM,PC6,SRV12,Kerberos,Network,LogOn,Success
5760,U1@DOM,U1@DOM,PC7,SRV1,NTLM,Network,LogOn,Success
5820,U2@DOM,U2@DOM,PC8,SRV2,Kerberos,Network,LogOn,Success
5880,U3@DOM,U3@DOM,PC9,SRV3,Kerberos,Network,LogOn,Success
5940,U4@DOM,U4@DOM,PC10,SRV4,Kerberos,Network,LogOn,Fail
6000,U5@DOM,U5@DOM,PC11,SRV5,NTLM,Network,LogOn,Success
6060,U6@DOM,U6@DOM,PC12,SRV6,Kerberos,Network,LogOn,Success
6120,U7@DOM,U7@DOM,PC13,SRV7,Kerberos,Network,LogOn,Success
6180,U8@DOM,U8@DOM,PC14,SRV8,Kerberos,Network,LogOn,Success
6240,U9@DOM,U9@DOM,PC15,SRV9,NTLM,Network,LogOn,Success
6300,U10@DOM,U10@DOM,PC16,SRV10,Kerberos,Network,LogOn,Success
6360,U11@DOM,U11@DOM,PC17,SRV11,Kerberos,Network,LogOn,Success
6420,U12@DOM,U12@DOM,PC18,SRV12,Kerberos,Network,LogOn,Success
6480,U13@DOM,U13@DOM,PC1,SRV1,NTLM,Network,LogOn,Success
6540,U14@DOM,U14@DOM,PC2,SRV2,Kerberos,Network,LogOn,Success
6600,U15@DOM,U15@DOM,PC3,SRV3,Kerberos,Network,LogOn,Fail
6660,U16@DOM,U16@DOM,PC4,SRV4,Kerberos,Network,LogOn,Success
6720,U17@DOM,U17@DOM,PC5,SRV5,NTLM,Network,LogOn,Success
6780,U18@DOM,U18@DOM,PC6,SRV6,Kerberos,Network,LogOn,Success
6840,U19@DOM,U19@DOM,PC7,SRV7,Kerberos,Network,LogOn,Success
6900,U20@DOM,U20@DOM,PC8,SRV8,Kerberos,Network,LogOn,Success
6960,U21@DOM,U21@DOM,PC9,SRV9,NTLM,Network,LogOn,Success
7020,U22@DOM,U22@DOM,PC10,SRV10,Kerberos,Network,LogOn,Success
7080,U23@DOM,U23@DOM,PC11,SRV11,Kerberos,Network,LogOn,Success
7140,U24@DOM,U24@DOM,PC12,SRV12,Kerberos,Network,LogOn,Success
7200,U1@DOM,U1@DOM,PC13,SRV1,NTLM,Network,LogOn,Success
7260,U2@DOM,U2@DOM,PC14,SRV2,Kerberos,Network,LogOn,Fail
7320,U3@DOM,U3@DOM,PC15,SRV3,Kerberos,Network,LogOn,Success
7380,U4@DOM,U4@DOM,PC16,SRV4,Kerberos,Network,LogOn,Success
7440,U5@DOM,U5@DOM,PC17,SRV5,NTLM,Network,LogOn,Success
7500,U6@DOM,U6@DOM,PC18,SRV6,Kerberos,Network,LogOn,Success
7560,U7@DOM,U7@DOM,PC1,SRV7,Kerberos,Network,LogOn,Success
7620,U8@DOM,U8@DOM,PC2,SRV8,Kerberos,Network,LogOn,Success
7680,U9@DOM,U9@DOM,PC3,SRV9,NTLM,Network,LogOn,Success
7740,U10@DOM,U10@DOM,PC4,SRV10,Kerberos,Network,LogOn,Success
7800,U11@DOM,U11@DOM,PC5,SRV11,Kerberos,Network,LogOn,Success
7860,U12@DOM,U12@DOM,PC6,SRV12,Kerberos,Network,LogOn,Success
7920,U13@DOM,U13@DOM,PC7,SRV1,NTLM,Network,LogOn,Fail
7980,U14@DOM,U14@DOM,PC8,SRV2,Kerberos,Network,LogOn,Success
8040,U15@DOM,U15@DOM,PC9,SRV3,Kerberos,Network,LogOn,Success
8100,U16@DOM,U16@DOM,PC10,SRV4,Kerberos,Network,LogOn,Success
8160,U17@DOM,U17@DOM,PC11,SRV5,NTLM,Network,LogOn,Success
8220,U18@DOM,U18@DOM,PC12,SRV6,Kerberos,Network,LogOn,Success
8280,U19@DOM,U19@DOM,PC13,SRV7,Kerberos,Network,LogOn,Success
8340,U20@DOM,U20@DOM,PC14,SRV8,Kerberos,Network,LogOn,Success
8400,U21@DOM,U21@DOM,PC15,SRV9,NTLM,Network,LogOn,Success
8460,U22@DOM,U22@DOM,PC16,SRV10,Kerberos,Network,LogOn,Success
8520,U23@DOM,U23@DOM,PC17,SRV11,Kerberos,Network,LogOn,Success
8580,U24@DOM,U24@DOM,PC18,SRV12,Kerberos,Network,LogOn,Fail
8640,U1@DOM,U1@DOM,PC1,SRV1,NTLM,Network,LogOn,Success
8700,U2@DOM,U2@DOM,PC2,SRV2,Kerberos,Network,LogOn,Success
8760,U3@DOM,U3@DOM,PC3,SRV3,Kerberos,Network,LogOn,Success
8820,U4@DOM,U4@DOM,PC4,SRV4,Kerberos,Network,LogOn,Success
8880,U5@DOM,U5@DOM,PC5,SRV5,NTLM,Network,LogOn,Success
8940,U6@DOM,U6@DOM,PC6,SRV6,Kerberos,Network,LogOn,Success
9000,U7@DOM,U7@DOM,PC7,SRV7,Kerberos,Network,LogOn,Success
9060,U8@DOM,U8@DOM,PC8,SRV8,Kerberos,Network,LogOn,Success
9120,U9@DOM,U9@DOM,PC9,SRV9,NTLM,Network,LogOn,Success
9180,U10@DOM,U10@DOM,PC10,SRV10,Kerberos,Network,LogOn,Success
9240,U11@DOM,U11@DOM,PC11,SRV11,Kerberos,Network,LogOn,Fail
9300,U12@DOM,U12@DOM,PC12,SRV12,Kerberos,Network,LogOn,Success
9360,U13@DOM,U13@DOM,PC13,SRV1,NTLM,Network,LogOn,Success
9420,U14@DOM,U14@DOM,PC14,SRV2,Kerberos,Network,LogOn,Success
9480,U15@DOM,U15@DOM,PC15,SRV3,Kerberos,Network,LogOn,Success
9540,U16@DOM,U16@DOM,PC16,SRV4,Kerberos,Network,LogOn,Success
